id,listing_type,property_type,price,location_city,location_city_district,area_property,area_land,construction_type,num_floors_building,apartment_floor,registered,heating_type,num_rooms,num_bathrooms,source
7849,s,h,22500.0,zrenjanin,zrenjanin opstina,85.0,7.0,1970,,,True,TA peć,,1.0,https://www.4zida.rs/prodaja/kuce/zrenjanin-opstina/oglas/djure-jaksica/5e46ec739a309171af0d0a0d
7850,s,h,60000.0,loznica,banja koviljaca,140.0,1.0,1971,,,True,Kaljeva peć,,1.0,https://www.4zida.rs/prodaja/kuce/loznica/oglas/karla-marksa/5d421420e466e6168545698c
7851,s,h,95000.0,nis,pantelej,200.0,3.0,,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/nis/oglas/jagodin-mala/5bb61d17ad85020e89624265
7852,s,h,90000.0,beograd,grocka,440.0,12.0,,,,True,Etažno,,2.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/umcari/5f187fb99a309110a800b6c6
7853,s,h,69000.0,beocin,beocin opstina,220.0,4.0,2000,,,True,Centralno,,3.0,https://www.4zida.rs/prodaja/kuce/valjevo-opstina/oglas/dobrosava-simica/5d64f3e9e466e653357002ec
7854,s,h,25000.0,backa palanka,backa palanka opstina,80.0,6.0,,,,True,Etažno,,1.0,https://www.4zida.rs/prodaja/kuce/backa-palanka-opstina/oglas/7juli/5b61c0abad850279895bd33d
7855,s,h,50000.0,zlatibor,zlatibor opstina,81.0,,2018,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/zlatibor-opstina/oglas/vodice-zlatibor/5cc9ef939a309113f51da4e8
7856,s,h,21000.0,nis,,300.0,16.0,1992,,,True,Etažno,,1.0,https://www.4zida.rs/prodaja/kuce/nis/oglas/selo-lalinske-pojate/5b06a79db70c5960cc7355b2
7857,s,h,43000.0,nis,medijana,130.0,2.0,,,,False,,,1.0,https://www.4zida.rs/prodaja/kuce/nis/oglas/trosarina/58b7f4687ce3af284b6dcce5
7858,s,h,145000.0,nis,medijana,80.0,4.0,,,,False,,,1.0,https://www.4zida.rs/prodaja/kuce/nis/oglas/duvaniste/58b7f4697ce3af284b6dccf2
